,birta,litur,hljóð,bragð,lykt,áferð,vídd,stefna,staðsetning,uppruni,rúmdreifing,lögun,tilvera,tími,hraði,aldur,venja,hreyfing,eðli,ástand,jafnvægi,hamur,þroski,raki,mengun,þyngd,eðliseiginleiki,efniseiginleiki,hitastig,veður,líf,líkamsgerð,heilsa,líkamstilfinning,kyn,útlit,líkamsástand,tilfinning,örvun,gáfur,reynsla,hegðun,dýrseðli,hæfni,samband,samúð,tilhneiging,félagsstaða,stjórnmál,trú,ríki,svæði,tala,fjöldi,verð,uppskera,gildi,vissa,nauðsyn,hagnýtni,erfiði,virkni,öryggi,regla,tenging,samræmi,nákvæmni,heild,ástæða,tilvísun,gagn
eðli,143,995,12,22,76,215,362,34,31,292,101,238,27,5,62,225,376,20,734,44,34,88,35,41,67,35,224,44,69,4,35,127,30,11,14,415,11,17,251,31,37,457,54,66,30,53,62,30,69,65,629,15,38,185,211,30,230,29,108,52,46,30,51,44,26,30,44,36,72,28,16
ástand,57,120,14,9,12,112,216,30,20,96,63,52,40,13,44,379,367,7,135,135,33,19,23,11,61,18,212,12,77,6,29,77,140,21,12,203,9,40,208,147,17,399,34,69,69,31,65,18,258,49,883,18,48,130,113,52,252,15,78,38,48,43,70,57,22,35,33,56,62,16,17
jafnvægi,30,53,23,11,17,68,277,38,39,68,147,14,26,107,81,113,186,21,31,12,138,23,2,12,41,21,56,11,59,5,18,148,41,43,10,106,8,39,108,53,20,619,98,53,37,62,51,18,64,26,152,11,37,157,167,85,261,12,155,46,88,14,95,78,32,50,33,101,126,18,36
hamur,24,110,5,28,32,55,82,14,22,70,32,43,23,11,12,49,65,9,52,15,20,117,30,27,27,11,169,68,45,4,18,25,34,24,3,65,5,6,29,21,6,124,28,12,9,9,28,8,16,14,160,3,5,30,71,31,30,4,20,7,26,28,22,29,7,7,7,17,25,5,20
þroski,12,64,2,15,41,60,41,4,2,158,12,4,19,2,23,94,34,5,21,24,9,80,22,10,33,13,325,42,24,1,24,26,26,12,0,81,4,11,168,34,2,185,18,30,17,3,14,7,8,6,186,0,3,8,30,19,5,2,16,10,7,13,7,19,0,9,5,11,3,1,5
raki,117,75,10,25,26,154,61,20,8,21,33,25,3,7,32,49,63,6,45,9,21,29,16,122,57,47,38,23,150,38,17,44,17,26,4,65,3,12,63,15,3,186,13,5,4,14,22,4,12,17,61,9,10,35,10,45,24,3,7,2,35,32,18,13,7,15,2,30,15,3,2
mengun,122,228,12,28,43,290,129,33,34,387,46,54,20,17,30,136,219,27,74,34,21,52,32,48,215,1004,95,41,52,2,22,73,108,40,19,330,10,46,210,188,45,618,97,51,54,33,108,34,95,74,377,15,37,50,174,48,828,11,27,12,44,55,89,134,21,20,68,30,129,10,65
þyngd,95,103,12,36,46,229,188,17,20,158,62,44,14,30,130,72,146,12,66,17,27,31,32,43,25,88,97,50,52,6,49,114,43,14,8,193,9,69,560,67,34,579,45,77,65,20,62,5,31,12,135,2,14,52,103,25,110,28,48,20,198,9,51,66,5,14,42,42,55,10,12
eðliseiginleiki,79,362,21,158,118,239,293,62,55,402,110,82,79,33,80,359,475,31,250,116,67,139,210,37,43,29,1674,115,100,8,78,164,78,21,11,266,21,26,331,118,56,1019,117,91,82,42,117,32,183,102,1050,16,64,176,298,70,389,28,261,91,168,54,100,228,37,47,65,94,164,49,38
efniseiginleiki,9,67,1,50,45,34,38,3,9,144,14,13,20,9,5,44,55,3,40,10,4,86,30,5,18,8,131,322,25,4,11,21,29,24,2,23,5,5,45,16,4,117,15,9,6,4,14,5,8,13,278,3,8,22,65,25,28,3,38,10,7,3,12,7,4,13,3,8,18,4,28
hitastig,210,170,29,71,52,171,426,62,65,95,109,77,31,16,57,97,338,21,41,46,58,61,18,231,57,29,110,29,357,76,49,82,45,29,11,122,11,15,110,61,19,410,50,26,55,50,82,41,50,45,292,28,56,50,62,51,201,23,61,23,51,30,58,67,10,62,19,72,19,8,21
veður,72,29,1,4,7,39,49,34,6,12,8,2,6,4,33,25,53,0,4,0,20,12,0,35,2,13,4,3,51,81,1,12,6,2,1,33,1,4,30,4,3,111,3,8,2,4,9,3,0,5,48,11,6,13,17,10,5,2,5,3,20,2,4,6,0,14,2,32,6,1,0
líf,29,55,36,13,15,30,111,16,37,121,63,18,121,13,47,237,196,9,34,20,31,17,23,17,23,14,67,11,43,1,192,53,88,39,8,127,18,58,352,88,34,284,67,73,26,52,42,86,37,108,371,4,36,110,97,35,151,18,39,22,14,34,25,39,16,35,15,68,38,22,12
líkamsgerð,184,433,35,67,77,270,582,129,33,386,194,109,49,72,199,465,531,48,203,76,123,76,17,50,87,93,238,84,97,11,67,776,308,40,40,843,40,141,725,499,248,2181,220,578,134,94,252,71,407,181,1683,45,66,129,464,204,819,30,190,239,161,41,295,403,20,34,116,86,387,68,39
heilsa,138,122,19,24,31,82,270,26,31,182,274,20,61,56,147,726,425,30,40,161,99,49,41,20,47,29,128,27,88,1,61,241,594,104,15,461,150,461,738,705,94,1498,171,459,141,61,130,153,378,137,488,11,38,112,221,144,347,20,56,81,67,63,189,107,54,28,35,200,115,17,70
líkamstilfinning,25,108,16,22,18,52,137,40,12,24,35,19,30,23,70,207,123,36,27,20,78,33,11,16,42,23,30,23,66,1,32,28,124,252,13,107,132,155,87,87,15,205,66,18,24,31,63,62,47,71,199,16,29,92,27,13,61,9,20,4,52,33,22,26,23,18,6,116,12,5,6
kyn,3,37,4,11,6,3,79,20,6,43,20,2,35,9,7,101,68,7,27,4,7,14,3,1,15,4,20,29,7,4,15,25,11,6,21,65,7,6,18,35,41,131,34,39,20,62,28,24,77,61,404,17,36,17,60,18,154,2,56,20,12,6,17,81,8,12,13,14,84,15,12
