fjöldi	4.954273162939297	83828	
tala	3.395611977369946	34152	
vissa	2.269993164730007	9017	
aldur	1.9656320375991383	92295	
hraði	1.9612619379761778	26118	
tenging	1.9279059449866904	12682	
vídd	1.6661708290926172	99178	
samræmi	1.487661937075879	15599	
erfiði	1.4120175027348023	30190	
venja	1.3996984318455972	124068	
ástand	1.3655066754213177	9863	
líkamsástand	1.3553956834532375	6309	
mengun	1.3267074413863404	12451	
samúð	1.29408708303024	21520	
hljóð	1.2870171673819744	3953	
staðsetning	1.2817181014257355	12032	
tilfinning	1.2253597610643496	15482	
tilvísun	1.1916077927638622	9429	
líkamstilfinning	1.159262915432708	6297	
félagsstaða	1.144567901234568	17367	
nákvæmni	1.1270762780196741	12994	
birta	1.1246197305519339	17559	
hegðun	1.1041635222837922	204798	
líkamsgerð	1.0874613959234094	30896	
áferð	1.051418439716312	23140	
tilvera	1.0512699905926624	13693	
heilsa	1.0492533403196227	20558	
veður	1.0460385438972162	1851	
nauðsyn	1.0380717925230434	35124	
þroski	1.0269642026964203	3912	
rúmdreifing	1.013254915730337	21356	
virkni	1.0083869164103998	6871	
þyngd	0.9955814420566379	8899	
raki	0.9911668991166899	4035	
útlit	0.9861381601558025	66388	
líf	0.9596881959910913	8296	
jafnvægi	0.9215358931552587	9656	
gáfur	0.9194140740428047	42203	
hitastig	0.8993927457738389	11210	
bragð	0.8844854070660523	5658	
heild	0.8789353176874642	19443	
uppruni	0.8717682074084699	49629	
uppskera	0.8657642413987592	15192	
tilhneiging	0.8519472159639524	21038	
gildi	0.8331298930886438	92494	
hreyfing	0.8206496519721578	7232	
lykt	0.8068985849056604	5510	
örvun	0.7964748271496738	75540	
tími	0.7938944172710406	9992	
samband	0.7868088538399498	18761	
reynsla	0.7726873653124751	21812	
eðliseiginleiki	0.758285018967862	24792	
öryggi	0.7516360482535678	20489	
hæfni	0.7389252549855382	31958	
kyn	0.7326086956521739	5249	
svæði	0.7272408963585434	4647	
verð	0.7188327999724717	49432	
stefna	0.7093162137951627	11708	
eðli	0.6824878694309661	18181	
gagn	0.6795851528384279	5849	
hagnýtni	0.6763628289108471	13921	
litur	0.6301040144416745	42190	
trú	0.6241166406308116	22745	
stjórnmál	0.6226395677900695	31225	
dýrseðli	0.5499276410998553	22237	
lögun	0.5392305362011511	9635	
efniseiginleiki	0.5025299600532623	5621	
hamur	0.5001140771161305	6051	
regla	0.4184013087380832	22800	
ástæða	0.3064114458713804	25600	
ríki	0.10248517240601673	124473	
